"Según el art. 35.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los actos serán motivados:", "Con sucinta referencia de hechos y fundamentos de derecho.", "Con extensa referencia a los hechos.", "Con sucinta referencia a los fundamentos de derecho.", "Con extensa referencia de hechos y fundamentos de derecho.", "a", "El artículo 35.1 de la Ley 39/2015 establece que los actos administrativos deben ser motivados con una sucinta referencia de hechos y fundamentos de derecho."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 112.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Contra las disposiciones administrativas de carácter general cabrá recurso en vía administrativa.", "Los reglamentos podrán sustituir el recurso de alzada por otros procedimientos de impugnación, reclamación, conciliación, mediación y arbitraje.", "Los recursos contra un acto administrativo que se funden únicamente en la nulidad de alguna disposición administrativa de carácter general podrán interponerse directamente ante el órgano que dictó dicha disposición.", "Se puede interponer recurso de alzada o de reposición contra todos los actos de trámite.", "c", "El artículo 112.3 de la Ley 39/2015 establece que los recursos contra un acto administrativo que se funden únicamente en la nulidad de alguna disposición administrativa de carácter general podrán interponerse directamente ante el órgano que dictó dicha disposición."
"Según el art. 114.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿cuál de los actos siguientes pone fin a la vía administrativa?", "Las resoluciones de los órganos administrativos que tengan superior jerárquico.", "La resolución administrativa de los procedimientos de responsabilidad patrimonial, cualquiera que fuese el tipo de relación, pública o privada, de que derive.", "Los acuerdos que inicien la negociación de pactos, convenios o contratos.", "Todas las respuestas son correctas.", "b", "El artículo 114.1 de la Ley 39/2015 establece que la resolución administrativa de los procedimientos de responsabilidad patrimonial, cualquiera que fuese el tipo de relación, pública o privada, de que derive, pone fin a la vía administrativa."
"De acuerdo con el art. 115.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, en la interposición de un recurso no hay obligación de expresar:", "El acto que se recurre y la razón de su impugnación.", "Los plazos de resolución del recurso.", "El órgano, centro o unidad administrativa al que se dirige y su correspondiente código de identificación.", "El lugar, fecha y firma del recurrente.", "b", "El artículo 115.1 de la Ley 39/2015 establece que en la interposición de un recurso no hay obligación de expresar los plazos de resolución del recurso."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 115.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Los recursos administrativos pueden presentarse de forma anónima.", "El transcurso del plazo para la interposición del recurso no es una causa de inadmisión.", "El error o la ausencia de la calificación del recurso por parte del recurrente no será obstáculo para su tramitación, siempre que se deduzca su verdadero carácter.", "Los vicios y defectos que hagan anulable un acto podrán ser alegados por quienes los hubieren causado.", "c", "El artículo 115.2 de la Ley 39/2015 establece que el error o la ausencia de la calificación del recurso por parte del recurrente no será obstáculo para su tramitación, siempre que se deduzca su verdadero carácter."
"Según el art. 116 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿cómo debe actuar un órgano administrativo cuando considere que la competencia para resolver un recurso corresponde a otra Administración Pública?", "Remitirá directamente el recurso al órgano que considere competente, debiendo notificar esta circunstancia a los interesados.", "Deberá desestimar el recurso, debiendo notificar esta circunstancia a los interesados.", "Deberá requerir al interesado para que subsane el recurso.", "Remitirá el recurso al órgano superior jerárquico.", "a", "El artículo 116 de la Ley 39/2015 establece que cuando un órgano administrativo considere que la competencia para resolver un recurso corresponde a otra Administración Pública, remitirá directamente el recurso al órgano que considere competente, debiendo notificar esta circunstancia a los interesados."
"Según el art. 117.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿en qué circunstancias puede suspenderse la ejecución del acto impugnado?", "Cuando la ejecución pudiera causar perjuicios de imposible o difícil reparación.", "Cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho previstas en el artículo 47.1 de esta Ley.", "Cuando la ejecución pudiera causar perjuicios de imposible o difícil reparación o cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho previstas en el artículo 47.1 de esta Ley.", "Cuando la ejecución pudiera causar perjuicios de imposible o difícil reparación o cuando la impugnación se fundamente en alguna de las causas de nulidad o de anulabilidad previstas en los artículos 47 y 48 de esta Ley.", "c", "El artículo 117.2 de la Ley 39/2015 establece que la ejecución del acto impugnado puede suspenderse cuando la ejecución pudiera causar perjuicios de imposible o difícil reparación o cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho previstas en el artículo 47.1 de esta Ley."
"Según el art. 117.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, la ejecución del acto impugnado se entenderá suspendida:", "Si transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en cualquier registro electrónico, el órgano a quien competa resolver el recurso no ha dictado y notificado resolución expresa al respecto.", "Transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en el registro electrónico de la Administración u Organismo competente para decidir sobre la misma.", "Si transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en el registro electrónico de la Administración u Organismo competente para decidir sobre la misma, el órgano a quien competa resolver el recurso no ha dictado y notificado resolución expresa al respecto.", "Transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en cualquier registro electrónico.", "c", "El artículo 117.3 de la Ley 39/2015 establece que la ejecución del acto impugnado se entenderá suspendida si transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en el registro electrónico de la Administración u Organismo competente para decidir sobre la misma, el órgano a quien competa resolver el recurso no ha dictado y notificado resolución expresa al respecto."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 117.4 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a la suspensión de la ejecución de los actos:", "La ejecución se deberá suspender cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho previstas en el artículo 47.1 de esta Ley.", "La suspensión se prolongará después de agotada la vía administrativa cuando, habiéndolo solicitado previamente el interesado, exista medida cautelar y los efectos de ésta se extiendan a la vía contencioso-administrativa.", "Al dictar el acuerdo de suspensión se deberán adoptar medidas cautelares para asegurar la eficacia de la resolución.", "Si el interesado interpone un recurso contencioso-administrativo decaerá automáticamente la suspensión de la ejecución del acto.", "b", "El artículo 117.4 de la Ley 39/2015 establece que la suspensión se prolongará después de agotada la vía administrativa cuando, habiéndolo solicitado previamente el interesado, exista medida cautelar y los efectos de ésta se extiendan a la vía contencioso-administrativa."
"Según el art. 118.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo al trámite de audiencia a los interesados en un recurso administrativo:", "No podrá solicitarse la práctica de pruebas cuando su falta de realización en el procedimiento en el que se dictó la resolución recurrida fuera imputable al interesado.", "Podrá solicitarse la práctica de todas las pruebas que no se hayan realizado durante el procedimiento.", "No podrá solicitarse la práctica de pruebas que no se hayan realizado durante el procedimiento.", "Podrá solicitarse la práctica de todas las pruebas que sean relevantes para la decisión del procedimiento.", "a", "El artículo 118.1 de la Ley 39/2015 establece que no podrá solicitarse la práctica de pruebas cuando su falta de realización en el procedimiento en el que se dictó la resolución recurrida fuera imputable al interesado."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 118.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo al trámite de audiencia a los interesados en un recurso administrativo:", "El recurso, los informes y las propuestas tienen el carácter de documentos nuevos a los efectos de este artículo.", "No se tendrán en cuenta en la resolución de los recursos, hechos, documentos o alegaciones del recurrente, cuando habiendo podido aportarlos en el trámite de alegaciones no lo haya hecho.", "Si hubiera otros interesados se les dará, en todo caso, traslado del recurso para que en el plazo de quince días aleguen cuanto estimen procedente.", "Tienen carácter de documentos nuevos los que los interesados hayan aportado al expediente antes de recaer la resolución impugnada.", "b", "El artículo 118.1 de la Ley 39/2015 establece que no se tendrán en cuenta en la resolución de los recursos, hechos, documentos o alegaciones del recurrente, cuando habiendo podido aportarlos en el trámite de alegaciones no lo haya hecho."
"Según el art. 119.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando el órgano competente considere que existe un vicio de forma en un acto recurrido:", "Debe acordar la convalidación de actuaciones de acuerdo con lo dispuesto en el artículo 52.", "No debe acordar la convalidación de actuaciones de acuerdo con lo dispuesto en el artículo 52.", "Puede acordar la convalidación de actuaciones de acuerdo con lo dispuesto en el artículo 52.", "Puede retrotraer el procedimiento y debe acordar la convalidación de actuaciones de acuerdo con lo dispuesto en el artículo 52.", "c", "El artículo 119.2 de la Ley 39/2015 establece que cuando el órgano competente considere que existe un vicio de forma en un acto recurrido, puede acordar la convalidación de actuaciones de acuerdo con lo dispuesto en el artículo 52."
"Según el art. 119.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el órgano que resuelva un recurso administrativo:", "Decidirá cuantas cuestiones, tanto de forma como de fondo, plantee el procedimiento, siempre que hayan sido alegadas por los interesados.", "Podrá decidir sobre las cuestiones de forma y fondo que plantee el procedimiento que hayan sido alegadas por los interesados.", "Decidirá cuantas cuestiones, tanto de forma como de fondo, plantee el procedimiento, hayan sido o no alegadas por los interesados.", "Solo podrá decidir sobre las cuestiones fondo que plantee el procedimiento aunque no hayan sido alegadas por los interesados.", "c", "El artículo 119.3 de la Ley 39/2015 establece que el órgano que resuelva un recurso administrativo decidirá cuantas cuestiones, tanto de forma como de fondo, plantee el procedimiento, hayan sido o no alegadas por los interesados."
"Según el art. 120.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando deban resolverse una pluralidad de recursos administrativos que traigan causa de un mismo acto administrativo y se hubiera interpuesto un recurso judicial contra una resolución administrativa:", "El órgano administrativo podrá acordar la suspensión del plazo para resolver hasta que recaiga pronunciamiento judicial, a petición de los interesados.", "El órgano administrativo debe acordar la suspensión del plazo para resolver hasta que recaiga sentencia firme.", "El órgano administrativo debe acordar la suspensión del plazo para resolver hasta que recaiga pronunciamiento judicial.", "El órgano administrativo podrá acordar la suspensión del plazo para resolver hasta que recaiga pronunciamiento judicial.", "d", "El artículo 120.1 de la Ley 39/2015 establece que el órgano administrativo podrá acordar la suspensión del plazo para resolver hasta que recaiga pronunciamiento judicial."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 121.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Los actos administrativos que pongan fin a la vía administrativa deberán ser recurridos en alzada como requisito previo para impugnarlos ante la jurisdicción contenciosa administrativa.", "Contra los actos firmes en vía administrativa se podrá interponer un recurso de alzada ante el superior jerárquico del órgano que dictó el acto.", "El recurso de alzada podrá interponerse ante el órgano que dictó el acto que se impugna o ante el competente para resolverlo.", "Contra la resolución de un recurso de alzada se podrá interponer un recurso de reposición.", "c", "El artículo 121.2 de la Ley 39/2015 establece que el recurso de alzada podrá interponerse ante el órgano que dictó el acto que se impugna o ante el competente para resolverlo."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 122 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "El plazo para interponer un recurso de reposición contra los actos expresos es de un mes y el plazo para resolver el recurso es de tres meses.", "El plazo para interponer un recurso de alzada contra los actos expresos es de un mes y el plazo para resolver el recurso es de un mes.", "El plazo para interponer un recurso de reposición contra los actos expresos es de tres meses y el plazo para resolver el recurso es de un mes.", "El plazo para interponer un recurso de alzada contra los actos expresos es de un mes y el plazo para resolver el recurso es de tres meses.", "d", "El artículo 122 de la Ley 39/2015 establece que el plazo para interponer un recurso de alzada contra los actos expresos es de un mes y el plazo para resolver el recurso es de tres meses."
"Según el art. 122.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el plazo para la interposición del recurso de alzada:", "Será de un mes, si el acto fuera expreso. Transcurrido dicho plazo sin haberse interpuesto el recurso, la resolución será firme a todos los efectos.", "Será de tres meses, si el acto fuera expreso. Transcurrido dicho plazo sin haberse interpuesto el recurso, la resolución será firme a todos los efectos.", "Será de un mes, si el acto fuera expreso. Transcurrido dicho plazo sin haberse interpuesto el recurso, la resolución agotará la vía administrativa a todos los efectos.", "Será de tres meses, si el acto fuera expreso. Transcurrido dicho plazo sin haberse interpuesto el recurso, la resolución agotará la vía administrativa a todos los efectos.", "a", "El artículo 122.1 de la Ley 39/2015 establece que el plazo para la interposición del recurso de alzada será de un mes, si el acto fuera expreso. Transcurrido dicho plazo sin haberse interpuesto el recurso, la resolución será firme a todos los efectos."
"Según el art. 122.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el recurso de alzada:", "Debe interponerse en el plazo de tres meses, si el acto fuera expreso.", "Puede interponerse contra las resoluciones y actos a que se refiere el artículo 112.1, cuando pongan fin a la vía administrativa.", "Debe resolverse en el plazo de un mes, si el acto fuera expreso, y de tres meses, si el acto fuera tácito.", "Debe resolverse y notificarse en el plazo de tres meses.", "d", "El artículo 122.2 de la Ley 39/2015 establece que el recurso de alzada debe resolverse y notificarse en el plazo de tres meses."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 123.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Los actos administrativos que pongan fin a la vía administrativa deben ser recurridos en reposición ante el mismo órgano que los haya dictado.", "Los actos firmes pueden ser impugnados directamente ante el orden jurisdiccional contencioso-administrativo.", "El plazo máximo para dictar y notificar la resolución del recurso de reposición será de tres meses.", "No se podrá interponer recurso contencioso-administrativo hasta que sea resuelto expresamente o se haya producido la desestimación presunta del recurso de reposición interpuesto.", "d", "El artículo 123.2 de la Ley 39/2015 establece que no se podrá interponer recurso contencioso-administrativo hasta que sea resuelto expresamente o se haya producido la desestimación presunta del recurso de reposición interpuesto."
"Según el art. 124.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, si el acto no fuera expreso, el solicitante y otros posibles interesados podrán interponer recurso de reposición:", "En cualquier momento a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzca el acto presunto.", "En el plazo de seis meses a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzca el acto presunto.", "En cualquier momento a partir del día siguiente a aquel en que hayan transcurrido tres meses desde que se inició el procedimiento.", "En el plazo de un mes a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzca el acto presunto.", "b", "El artículo 124.1 de la Ley 39/2015 establece que si el acto no fuera expreso, el solicitante y otros posibles interesados podrán interponer recurso de reposición en el plazo de seis meses a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzca el acto presunto."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 124.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Si el acto no fuera expreso, el interesado podrá interponer un recurso de reposición en el plazo de seis meses.", "El plazo máximo para dictar la resolución del recurso de reposición será de tres meses.", "El plazo para la interposición del recurso de reposición será de un mes, si el acto fuera expreso.", "Si el acto no fuera expreso, el interesado deberá interponer recurso de reposición para agotar la vía administrativa.", "a", "El artículo 124.1 de la Ley 39/2015 establece que si el acto no fuera expreso, el interesado podrá interponer un recurso de reposición en el plazo de seis meses."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 124.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "El plazo para la interposición del recurso de reposición será de un mes, si el acto fuera expreso, y de tres meses, si fuera presunto.", "Contra la desestimación presunta de un recurso de reposición se podrá interponer un nuevo recurso de reposición en el plazo de tres meses.", "El recurso de reposición podrá interponerse ante el órgano que dictó el acto que se impugna o ante la jurisdicción contencioso administrativa.", "El plazo máximo para dictar y notificar la resolución del recurso de reposición será de un mes.", "a", "El artículo 124.2 de la Ley 39/2015 establece que el plazo para la interposición del recurso de reposición será de un mes, si el acto fuera expreso, y de tres meses, si fuera presunto."
"Según el art. 125.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el recurso extraordinario de revisión:", "Puede interponerse ante el órgano administrativo que dictó el acto, que también será el competente para su resolución.", "Puede interponerse ante el órgano que dictó el acto o ante su superior jerárquico, que será el competente para su resolución.", "Puede interponerse ante el superior jerárquico del órgano que dictó el acto, que será el competente para su resolución.", "Debe interponerse ante el órgano administrativo que dictó el acto, que lo remitirá al superior jerárquico junto con un informe.", "b", "El artículo 125.1 de la Ley 39/2015 establece que el recurso extraordinario de revisión puede interponerse ante el órgano que dictó el acto o ante su superior jerárquico, que será el competente para su resolución."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 126.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "El plazo para la interposición del recurso extraordinario de revisión será de tres meses, si el acto fuera expreso.", "Cuando la resolución se hubiese dictado como consecuencia de prevaricación, cohecho, violencia, maquinación fraudulenta u otra conducta punible, el plazo para la interposición del recurso extraordinario de revisión será de tres meses a contar desde la notificación de la sentencia.", "Transcurrido el plazo de tres meses desde la interposición del recurso extraordinario de revisión sin haberse dictado y notificado la resolución, se entenderá desestimado.", "Cuando aparezcan documentos de valor esencial para la resolución del asunto que, aunque sean posteriores, evidencien el error de la resolución recurrida, el plazo para la interposición del recurso extraordinario de revisión será de cuatro años a contar desde la notificación de la resolución impugnada.", "d", "El artículo 126.3 de la Ley 39/2015 establece que cuando aparezcan documentos de valor esencial para la resolución del asunto que, aunque sean posteriores, evidencien el error de la resolución recurrida, el plazo para la interposición del recurso extraordinario de revisión será de cuatro años a contar desde la notificación de la resolución impugnada."
"Según el art. 60.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, se entiende por orden superior:", "La emitida por un órgano administrativo superior jerárquico del competente para la iniciación del procedimiento.", "La emitida por por cualquier órgano administrativo que no tiene competencia para iniciar el procedimiento.", "El acto por el que cualquier persona pone en conocimiento de un órgano administrativo la existencia de un determinado hecho que pudiera justificar la iniciación de oficio de un procedimiento.", "Las respuestas a) y b) son correctas.", "a", "El artículo 60.1 de la Ley 39/2015 establece que se entiende por orden superior la emitida por un órgano administrativo superior jerárquico del competente para la iniciación del procedimiento."
"Según el art. 62.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo al inicio del procedimiento por denuncia:", "Las denuncias deberán expresar la identidad de la persona o personas que las presentan.", "Las denuncias se podrán presentar anónimamente.", "Las denuncias siempre deberán identificar a los presuntos responsables.", "Las denuncias deberán calificar jurídicamente la infracción cometida.", "a", "El artículo 62.2 de la Ley 39/2015 establece que las denuncias deberán expresar la identidad de la persona o personas que las presentan."
"Según el art. 63.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "No se podrán imponer sanciones por faltas graves o muy graves sin que se haya tramitado el oportuno procedimiento.", "En ningún caso se podrá imponer una sanción sin que se haya tramitado el oportuno procedimiento.", "No se podrá imponer ninguna sanción sin que se haya tramitado el procedimiento sancionador que regula el título IV de esta Ley.", "En ningún caso se podrá imponer una sanción sin que se haya tramitado el oportuno procedimiento, salvo en los casos en que la legislación específica lo autorice.", "c", "El artículo 63.2 de la Ley 39/2015 establece que no se podrá imponer ninguna sanción sin que se haya tramitado el procedimiento sancionador que regula el título IV de esta Ley."
"De acuerdo con el art. 64.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el acuerdo de iniciación de los procedimientos de naturaleza sancionadora:", "Debe designar siempre un secretario.", "Se notificará al inculpado únicamente cuando pueda ser interesado en el procedimiento.", "Debe contener la identificación de la persona o personas presuntamente responsables.", "Se notificará al instructor del procedimiento de acuerdo con los artículos 40 a 46 de esta Ley.", "c", "El artículo 64.2 de la Ley 39/2015 establece que el acuerdo de iniciación de los procedimientos de naturaleza sancionadora debe contener la identificación de la persona o personas presuntamente responsables."
"Según el art. 65.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿cuál es el plazo para presentar alegaciones en los procedimientos de responsabilidad patrimonial?", "Diez días, a contar desde que se dicta el acuerdo de iniciación del procedimiento.", "Quince días, a contar desde la notificación del acuerdo de iniciación del procedimiento.", "Diez días, a contar desde la notificación del acuerdo de iniciación del procedimiento.", "No hay ningún plazo específico para presentar alegaciones.", "c", "El artículo 65.2 de la Ley 39/2015 establece que el plazo para presentar alegaciones en los procedimientos de responsabilidad patrimonial es de diez días, a contar desde la notificación del acuerdo de iniciación del procedimiento."
"Según el art. 75.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los actos de instrucción que requieran la intervención de los interesados habrán de practicarse:", "En la forma que resulte más conveniente para ellos y sea compatible, en la medida de lo posible, con sus obligaciones laborales o profesionales.", "En la forma que resulte más conveniente para la Administración y atendiendo al interés público.", "En la forma que resulte más conveniente para ellos y sea compatible, en la medida de lo posible, con el horario de atención al público.", "En la forma que resulte más conveniente para el órgano instructor.", "a", "El artículo 75.3 de la Ley 39/2015 establece que los actos de instrucción que requieran la intervención de los interesados habrán de practicarse en la forma que resulte más conveniente para ellos y sea compatible, en la medida de lo posible, con sus obligaciones laborales o profesionales."
"Según el art. 77.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, se abrirá un período de prueba:", "Cuando la Administración no tenga por ciertos los hechos alegados por los interesados.", "Cuando la Administración no tenga por ciertos los hechos alegados por los interesados o la naturaleza del procedimiento lo exija.", "A petición de los interesados, cuando la naturaleza del procedimiento lo exija.", "A petición de los interesados, cuando la Administración no tenga por ciertos los hechos alegados por éstos o cuando la naturaleza del procedimiento lo exija.", "d", "El artículo 77.2 de la Ley 39/2015 establece que se abrirá un período de prueba a petición de los interesados, cuando la Administración no tenga por ciertos los hechos alegados por éstos o cuando la naturaleza del procedimiento lo exija."
"Según el art. 77.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el período extraordinario de prueba se abrirá:", "Cuando el instructor lo considere necesario, a petición de los interesados, por un plazo no superior a diez días.", "Cuando el instructor lo considere necesario, a petición de los interesados, por un plazo no superior a quince días.", "Cuando el instructor lo considere necesario, por un plazo no superior a diez días.", "Cuando el instructor lo considere necesario, por un plazo no superior a treinta días ni inferior a diez.", "b", "El artículo 77.2 de la Ley 39/2015 establece que el período extraordinario de prueba se abrirá cuando el instructor lo considere necesario, a petición de los interesados, por un plazo no superior a quince días."
"Indique cuál de las siguientes afirmaciones es correcta de acuerdo con el art. 77.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a los medios y el período de prueba:", "El instructor podrá decidir la apertura de un período extraordinario de prueba por un plazo no superior a quince días.", "La duración del período ordinario de prueba será inferior a treinta días.", "El instructor puede rechazar pruebas propuestas por los interesados.", "Los hechos declarados probados en actos administrativos firmes vinculan a las Administraciones Públicas respecto de los procedimientos sancionadores que substancien.", "c", "El artículo 77.3 de la Ley 39/2015 establece que el instructor puede rechazar pruebas propuestas por los interesados."
"Según el art. 77.5 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los documentos formalizados por los funcionarios a los que se reconoce la condición de autoridad y en los que, observándose los requisitos legales correspondientes se recojan los hechos constatados por aquéllos:", "Harán prueba de éstos.", "Harán prueba de éstos salvo que se acredite lo contrario.", "No harán prueba de éstos salvo que se acredite lo contrario.", "No harán prueba de éstos.", "a", "El artículo 77.5 de la Ley 39/2015 establece que los documentos formalizados por los funcionarios a los que se reconoce la condición de autoridad y en los que, observándose los requisitos legales correspondientes se recojan los hechos constatados por aquéllos, harán prueba de éstos."
"Indique cuál de las siguientes afirmaciones es correcta de acuerdo con el art. 78.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a la práctica de la prueba:", "La Administración comunicará a los interesados, con una antelación no inferior a diez días ni superior a quince, el inicio del período de prueba.", "El interesado puede nombrar técnicos para que le asistan.", "Las pruebas cuya realización implique gastos para la Administración serán pagadas por el interesado.", "Los documentos formalizados por los funcionarios a los que se reconoce la condición de autoridad siempre harán prueba de su contenido.", "b", "El artículo 78.2 de la Ley 39/2015 establece que el interesado puede nombrar técnicos para que le asistan durante la práctica de la prueba."
"Según el art. 78.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿en qué casos la Administración podrá exigir el pago de los gastos de la práctica de pruebas?", "En los casos en que deban efectuarse pruebas cuya realización implique gastos que no deba soportar la Administración.", "En los casos en que, a petición del interesado, deban efectuarse pruebas cuya realización implique gastos que no deba soportar la Administración.", "En los casos en que, a petición del interesado, deban efectuarse pruebas cuya realización implique gastos que deba soportar la Administración.", "En los casos en que deban efectuarse pruebas cuya realización implique gastos que deba soportar la Administración.", "b", "El artículo 78.3 de la Ley 39/2015 establece que la Administración podrá exigir el pago de los gastos de la práctica de pruebas en los casos en que, a petición del interesado, deban efectuarse pruebas cuya realización implique gastos que no deba soportar la Administración."
"Según el art. 80.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿en qué plazo serán emitidos los informes?", "En el plazo de diez días, salvo que una disposición o el cumplimiento del resto de los plazos del procedimiento permita o exija otro plazo mayor o menor.", "En un plazo no inferior a diez días ni superior a quince.", "En el plazo de quince días, salvo que una disposición o el cumplimiento del resto de los plazos del procedimiento permita o exija otro plazo mayor o menor.", "En un plazo no superior a treinta días ni inferior a diez.", "a", "El artículo 80.2 de la Ley 39/2015 establece que los informes serán emitidos en el plazo de diez días, salvo que una disposición o el cumplimiento del resto de los plazos del procedimiento permita o exija otro plazo mayor o menor."
"Según el art. 80.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, de no emitirse el informe en el plazo señalado:", "Se podrán proseguir las actuaciones salvo cuando se trate de un informe preceptivo, en cuyo caso se deberá suspender el transcurso del plazo máximo legal para resolver.", "Se podrán proseguir las actuaciones salvo cuando se trate de un informe preceptivo, en cuyo caso se podrá suspender el transcurso del plazo máximo legal para resolver.", "Se podrán proseguir las actuaciones cuando se trate de un informe preceptivo, en cuyo caso se deberá suspender el transcurso del plazo máximo legal para resolver.", "No se podrán proseguir las actuaciones salvo cuando se trate de un informe preceptivo, en cuyo caso se deberá suspender el transcurso del plazo máximo legal para resolver.", "a", "El artículo 80.3 de la Ley 39/2015 establece que, de no emitirse el informe en el plazo señalado, se podrán proseguir las actuaciones salvo cuando se trate de un informe preceptivo, en cuyo caso se deberá suspender el transcurso del plazo máximo legal para resolver."
"Según el art. 80.4 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el informe emitido fuera de plazo por una administración pública distinta de la que tramita el procedimiento:", "Podrá no ser tenido en cuenta al adoptar la correspondiente resolución.", "No podrá ser tenido en cuenta al adoptar la correspondiente resolución.", "Deberá ser tenido en cuenta al adoptar la correspondiente resolución.", "No podrá ser tenido en cuenta al adoptar la correspondiente resolución, salvo lo dispuesto en la normativa sectorial específica.", "a", "El artículo 80.4 de la Ley 39/2015 establece que el informe emitido fuera de plazo por una administración pública distinta de la que tramita el procedimiento podrá no ser tenido en cuenta al adoptar la correspondiente resolución."
"Según el art. 81.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a los procedimientos de responsabilidad patrimonial, ¿qué carácter tiene el informe del servicio cuyo funcionamiento haya ocasionado la presunta lesión indemnizable?", "Preceptivo.", "Preceptivo y vinculante.", "Facultativo.", "Facultativo y no vinculante.", "a", "El artículo 81.1 de la Ley 39/2015 establece que el informe del servicio cuyo funcionamiento haya ocasionado la presunta lesión indemnizable tiene carácter preceptivo."
