"Indique la respuesta correcta en relación con los convenios. Según el artículo 47.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:","No pueden ser formalizados con sujetos de derecho privado.","No pueden tener efectos jurídicos frente a terceros.","Pueden tener prestaciones propias de los contratos.","No pueden tener prestaciones propias de los contratos.","c","El artículo 47.1 de la Ley 40/2015 establece que los convenios pueden incluir prestaciones propias de los contratos, siempre que se ajusten a la normativa aplicable."
"Señale la opción incorrecta respecto de la avocación de acuerdo con la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:", "Los órganos superiores pueden avocar para sí el conocimiento de uno o varios asuntos cuya resolución corresponda ordinariamente o por delegación a sus órganos administrativos dependientes, cuando circunstancias de índole técnica, económica, social, jurídica o territorial lo hagan conveniente.", "En los supuestos de delegación de competencias en órganos no dependientes jerárquicamente, el conocimiento de un asunto lo puede avocar únicamente por el órgano delegante.", "En todo caso, la avocación se llevará a cabo mediante acuerdo motivado, que será notificado a los interesados en el procedimiento, si lo hubiere, con posterioridad a la resolución final que se dicte.", "Contra el acuerdo de avocación no se puede interponer recurso, aunque puede impugnarse en el recurso que, en su caso, se interponga contra la resolución del procedimiento.", "c", "El artículo 20 de la Ley 40/2015 establece que el acuerdo de avocación debe notificarse a los interesados antes de la resolución final, no después."
"Indique la respuesta correcta en relación con lo dispuesto en el artículo 32.7 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:", "La responsabilidad patrimonial del Estado por el funcionamiento de la Administración de Justicia se rige por el Real decreto 429/1993, de 26 de marzo, por el que se aprueba el Reglamento de los procedimientos de las administraciones públicas en materia de responsabilidad patrimonial.", "La responsabilidad patrimonial del Estado por el funcionamiento de la Administración de Justicia se rige por la Ley orgánica 6/1985, de 1 de julio, del poder judicial.", "La responsabilidad patrimonial del estado por el funcionamiento de la Administración de Justicia se rige por la Ley 40/2015 de 1 de octubre de régimen jurídico del sector público.", "La responsabilidad patrimonial del Estado por el funcionamiento de la Administración de Justicia se rige por la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas.", "b", "El artículo 32.7 de la Ley 40/2015 establece que la responsabilidad patrimonial del Estado por el funcionamiento de la Administración de Justicia se rige por la Ley Orgánica 6/1985, del Poder Judicial."
"Para la válida constitución de los órganos colegiados, el artículo 17 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, exige:", "La asistencia, presencial o a distancia, del presidente y secretario o, en su caso, de quienes les suplan, y la mitad, al menos de sus miembros, a efectos de la celebración de sesiones, deliberaciones y toma de acuerdos.", "La asistencia presencial del presidente y secretario o, en su caso, de quienes les suplan, y de todos sus miembros, a efectos de la celebración de sesiones, deliberaciones y toma de acuerdos.", "La asistencia presencial del presidente y secretario o, en su caso, de quienes les suplan, y de la mitad al menos de sus miembros, a efectos de la celebración de sesiones y deliberaciones, y la de todos sus miembros, para la toma de acuerdos.", "La asistencia, presencial oa distancia, de al menos la mitad de sus miembros, a efectos de la celebración de sesiones y deliberaciones; sólo será necesaria la asistencia del presidente y el secretario, para la toma de acuerdos.", "a", "El artículo 17 de la Ley 40/2015 establece que se requiere la asistencia del presidente y secretario, o quienes les suplan, y de la mitad, al menos, de sus miembros para la válida constitución de los órganos colegiados."
"Según el artículo 47 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, son convenios:", "Los acuerdos con efectos jurídicos adoptados por las administraciones públicas, los organismos públicos y las entidades de derecho público vinculados o dependientes o las universidades públicas entre sí o con sujetos de derecho privado para una finalidad común.", "Los que se formalicen para actuar con un objetivo común, aunque no supongan la formalización de compromisos jurídicos.", "Los que tienen por objeto una delegación de competencias entre órganos.", "Los acuerdos por los que se formalicen prestaciones propias de los contratos.", "a", "El artículo 47 de la Ley 40/2015 define los convenios como acuerdos con efectos jurídicos adoptados por las administraciones públicas y otros entes públicos para una finalidad común."
"De acuerdo con el artículo 53 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿qué convenios deben enviarse al Tribunal de Cuentas o al órgano de externo de fiscalización de la comunidad autónoma en los tres meses siguientes a la suscripción?", "Cualquier convenio cuyos compromisos económicos asumidos superen los 500.000 euros.", "Cualquier convenio cuyos compromisos económicos asumidos superen los 600.000 euros.", "Todos los convenios.", "Los convenios interadministrativos suscritos entre dos o más administraciones públicas.", "b", "El artículo 53 de la Ley 40/2015 establece que los convenios cuyos compromisos económicos superen los 600.000 euros deben enviarse al Tribunal de Cuentas o al órgano de fiscalización externa de la comunidad autónoma."
"Señale la afirmación correcta. De conformidad con lo que dispone el artículo 81 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, que regula los principios generales de actuación del sector público institucional:", "Las entidades que integran el sector público institucional están sometidas en su actuación a los principios de legalidad, eficiencia, estabilidad presupuestaria y sostenibilidad financiera, así como al principio de transparencia en su gestión.", "Las entidades que integran el sector público institucional no se sujetarán en materia de personal, incluido el laboral, a las limitaciones previstas en materia presupuestaria.", "Las administraciones autonómicas y locales pueden establecer un sistema de supervisión continua de sus entidades dependientes, a fin de comprobar la subsistencia de los motivos que justificaron su creación.", "Los organismos y entidades vinculados o dependientes de la Administración autonómica y local se rigen por las disposiciones propias considerando que la Ley 40/2015 se aplica exclusivamente al sector público de la Administración General del Estado.", "a", "El artículo 81 de la Ley 40/2015 establece que las entidades del sector público institucional están sometidas a los principios de legalidad, eficiencia, estabilidad presupuestaria, sostenibilidad financiera y transparencia."
"Señale la opción incorrecta. De acuerdo con el artículo 5 de la Ley 40/2015, de 1 de octubre, del Régimen Jurídico del Sector Público, la creación de cualquier órgano administrativo exige, al menos, el cumplimiento de los siguientes requisitos:", "Determinación de su forma de integración en la Administración pública de que se trate y su dependencia jerárquica.", "Delimitación de sus funciones y competencias.", "Dotación de los créditos necesarios para su puesta en marcha y funcionamiento.", "Ubicación geográfica de sus dependencias.", "d", "El artículo 5 de la Ley 40/2015 no menciona la ubicación geográfica de las dependencias como requisito para la creación de un órgano administrativo."
"Señale la opción incorrecta en relación con los convenios administrativos:", "Tienen como finalidad mejorar la eficiencia de la gestión pública.", "Tienen como finalidad contribuir a la realización de actividades de utilidad privada.", "Deben facilitar la utilización conjunta de medios y servicios públicos.", "Deben cumplir la legislación de estabilidad presupuestaria y sostenibilidad financiera.", "b", "Los convenios administrativos no tienen como finalidad contribuir a la realización de actividades de utilidad privada, sino mejorar la eficiencia de la gestión pública y facilitar la utilización conjunta de medios y servicios públicos."
"Las diferentes administraciones públicas actúan y se relacionan entre ellas y con las entidades u organismos vinculados a ellas de acuerdo con el principio:", "De cooperación.", "De colaboración.", "De lealtad institucional.", "Todas las respuestas anteriores son correctas.", "d", "El artículo 3 de la Ley 40/2015 establece que las administraciones públicas actúan y se relacionan entre sí y con los organismos vinculados a ellas de acuerdo con los principios de cooperación, colaboración y lealtad institucional."
"La resolución de los convenios da lugar a su liquidación con el objeto de determinar:", "Los derechos de cada una de las partes.", "Los derechos y obligaciones de una de las partes.", "Las obligaciones y compromisos de cada una de las partes.", "Las expectativas y compromisos de cada una de las partes.", "c", "El artículo 52 de la Ley 40/2015 establece que la resolución de los convenios da lugar a su liquidación para determinar las obligaciones y compromisos de cada una de las partes."
"Los consorcios se rigen por lo que se establece:", "En la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público.", "En la normativa autonómica de desarrollo, en su caso.", "En sus estatutos.", "Todas las respuestas anteriores son correctas.", "d", "Los consorcios se rigen por la Ley 40/2015, la normativa autonómica de desarrollo y sus estatutos, según lo establecido en el artículo 85 de la Ley 40/2015."
"Señale la opción correcta. En relación con el funcionamiento de los órganos colegiados, la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, permite la deliberación y acuerdo de los asuntos que no figuren incluidos en el orden del día de la sesión que se remitió junto con la convocatoria, siempre que:", "Asistan todos los miembros del órgano colegiado y se declare la urgencia del asunto por mayoría absoluta.", "Asistan la mayoría absoluta de los miembros del órgano colegiado y se declare la urgencia del asunto por el voto favorable de la mayoría.", "Asistan los miembros del órgano colegiado y se declare la urgencia del asunto por unanimidad.", "Asistan todos los miembros del órgano colegiado y se declare la urgencia del asunto por el voto favorable de la mayoría.", "a", "El artículo 17.3 de la Ley 40/2015 establece que la deliberación y acuerdo de asuntos no incluidos en el orden del día requiere la asistencia de todos los miembros y la declaración de urgencia por mayoría absoluta."
"De conformidad con la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, los organismos públicos vinculados o dependientes de la Administración General del Estado se clasifican:", "En organismos autónomos y entidades públicas empresariales.", "En organismos autónomos y agencias estatales.", "En organismos autónomos, consorcios y agencias estatales.", "En organismos autónomos, entidades públicas empresariales y agencias estatales.", "d", "El artículo 95 de la Ley 40/2015 clasifica los organismos públicos vinculados o dependientes de la Administración General del Estado en organismos autónomos, entidades públicas empresariales y agencias estatales."
"Señale la opción correcta. En relación con la delegación de competencias relativas a la resolución de recursos ante los órganos administrativos que hayan dictado los actos recurridos, la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, establece:", "Que la delegación debe ser expresa.", "La delegación deberá publicarse en el boletín oficial correspondiente.", "Que la delegación sólo puede realizarse en órganos que estén bajo la dependencia jerárquica del órgano que delega.", "Que en ningún caso pueden ser objeto de delegación las competencias relativas a esta materia.", "d", "El artículo 9.2.c) de la Ley 40/2015 establece que en ningún caso podrán ser objeto de delegación las competencias relativas a esta materia."
"Según el art. 25.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, la potestad sancionadora de las Administraciones Públicas se ejercerá cuando:","No esté prohibida por una norma con rango de Ley.","Haya sido expresamente reconocida por una norma con rango de Ley.","Haya sido expresamente reconocida por una norma de rango legal o reglamentario.","No esté prohibida por una norma de rango legal o reglamentario.","b","Según el artículo 25.1 de la Ley 40/2015, la potestad sancionadora se ejercerá cuando haya sido expresamente reconocida por una norma con rango de Ley."
"Según el art. 25.3 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, las disposiciones de este Capítulo:","Podrán hacerse extensivas al ejercicio por las Administraciones Públicas de su potestad disciplinaria respecto del personal a su servicio.","Serán extensivas al ejercicio por las Administraciones Públicas de su potestad disciplinaria respecto del personal a su servicio.","No podrán hacerse extensivas al ejercicio por las Administraciones Públicas de su potestad disciplinaria respecto del personal a su servicio.","Serán extensivas al ejercicio por las entidades del sector público de su potestad disciplinaria respecto del personal a su servicio.","b","El artículo 25.3 establece que las disposiciones de este Capítulo serán extensivas al ejercicio por las Administraciones Públicas de su potestad disciplinaria respecto del personal a su servicio."
"De acuerdo con el art. 25.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, las disposiciones de este Capítulo, relativas al ejercicio por las Administraciones Públicas de la potestad sancionadora:","No serán de aplicación respecto de quienes estén vinculados a ellas por relaciones reguladas por la legislación de contratos del sector público o por la legislación patrimonial de las Administraciones Públicas.","Serán de aplicación respecto de quienes estén vinculados a ellas por relaciones reguladas por la legislación de contratos del sector público o por la legislación patrimonial de las Administraciones Públicas.","Podrán ser de aplicación respecto de quienes estén vinculados a ellas por relaciones reguladas por la legislación de contratos del sector público o por la legislación patrimonial de las Administraciones Públicas.","No serán de aplicación respecto de quienes estén vinculados a ellas por relaciones reguladas por la legislación sobre función pública o por la legislación patrimonial de las Administraciones Públicas.","a","El artículo 25.4 indica que las disposiciones de este Capítulo no serán de aplicación respecto de quienes estén vinculados a las Administraciones Públicas por relaciones reguladas por la legislación de contratos del sector público o por la legislación patrimonial."
"Según el art. 26.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, serán de aplicación las disposiciones sancionadoras vigentes:","En el momento de resolver el procedimiento sancionador.","En el momento de producirse los hechos que constituyan infracción administrativa.","En el momento de la iniciación del procedimiento sancionador.","En el momento que sean probados los hechos constitutivos de una infracción administrativa.","b","El artículo 26.1 establece que las disposiciones sancionadoras serán de aplicación en el momento de producirse los hechos que constituyan infracción administrativa."
"Según el art. 26.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, las disposiciones sancionadoras producirán efecto retroactivo en cuanto favorezcan al presunto infractor:","Salvo las sanciones pendientes de recurso al entrar en vigor la nueva disposición.","Salvo las sanciones pendientes de cumplimiento al entrar en vigor la nueva disposición.","Incluso respecto de las sanciones pendientes de cumplimiento al entrar en vigor la nueva disposición.","Incluso respecto de las sanciones cumplidas al entrar en vigor la nueva disposición.","c","El artículo 26.2 indica que las disposiciones sancionadoras producirán efecto retroactivo en cuanto favorezcan al presunto infractor, incluso respecto de las sanciones pendientes de cumplimiento al entrar en vigor la nueva disposición."
"Según el art. 27.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:","Las infracciones administrativas se clasificarán por la Ley en leves, graves y muy graves.","Las infracciones y las sanciones administrativas se clasificarán por la Ley en leves, graves y muy graves.","Las infracciones administrativas se clasificarán en leves, graves y muy graves.","Las infracciones y las sanciones administrativas se clasificarán en leves, graves y muy graves.","a","El artículo 27.1 establece que las infracciones administrativas se clasificarán por la Ley en leves, graves y muy graves."
"Según el art. 27.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:","Las normas definidoras de infracciones y sanciones serán susceptibles de aplicación analógica.","Las normas definidoras de infracciones y sanciones no serán susceptibles de aplicación analógica.","Las normas definidoras de infracciones y sanciones podrán ser susceptibles de aplicación analógica.","Las normas definidoras de infracciones no serán susceptibles de aplicación analógica.","b","El artículo 27.4 indica que las normas definidoras de infracciones y sanciones no serán susceptibles de aplicación analógica."
"Según el art. 28.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, los patrimonios independientes o autónomos:","Podrán ser sancionados por hechos constitutivos de infracción administrativa.","Podrán ser sancionados por hechos constitutivos de infracción administrativa cuando una ley les reconozca capacidad de obrar.","No podrán ser sancionados por hechos constitutivos de infracción administrativa.","No podrán ser sancionados por hechos constitutivos de infracción administrativa cuando una ley les reconozca capacidad de obrar.","b","El artículo 28.1 establece que los patrimonios independientes o autónomos podrán ser sancionados por hechos constitutivos de infracción administrativa cuando una ley les reconozca capacidad de obrar."
"Según el art. 28.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿cuándo pueden ser sancionados los grupos de afectados?","Cuando una ley les reconozca capacidad de obrar.","Cuando su estatuto les reconozca capacidad de obrar.","Cuando una ley o un reglamento les reconozca capacidad de obrar.","Cuando una ley, un reglamento o su estatuto les reconozca capacidad de obrar.","a","El artículo 28.1 indica que los grupos de afectados pueden ser sancionados cuando una ley les reconozca capacidad de obrar."
"Según el art. 28.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, la indemnización por los daños y perjuicios que se deriven de una infracción administrativa:","Será determinada y exigida por los órganos competentes.","Será determinada y exigida por el órgano al que corresponda el ejercicio de la potestad sancionadora.","Será determinada por el órgano perjudicado y exigida por el órgano al que corresponda el ejercicio de la potestad sancionadora.","Será determinada y exigida por el órgano al que corresponda instruir el procedimiento de apremio.","b","El artículo 28.2 establece que la indemnización por los daños y perjuicios será determinada y exigida por el órgano al que corresponda el ejercicio de la potestad sancionadora."
"Según el art. 28.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, las leyes reguladoras de los distintos regímenes sancionadores:","No podrán tipificar como infracción el incumplimiento de la obligación de prevenir la comisión de infracciones administrativas por quienes se hallen sujetos a una relación de dependencia o vinculación.","Podrán tipificar como infracción el incumplimiento de la obligación de prevenir la comisión de infracciones administrativas por quienes se hallen sujetos a una relación de dependencia o vinculación.","Deberán tipificar como infracción el incumplimiento de la obligación de prevenir la comisión de infracciones administrativas por quienes se hallen sujetos a una relación de dependencia o vinculación.","Podrán tipificar como infracción el incumplimiento de la obligación de prevenir la comisión de infracciones administrativas por quienes no se hallen sujetos a una relación de dependencia o vinculación.","b","El artículo 28.4 indica que las leyes reguladoras de los distintos regímenes sancionadores podrán tipificar como infracción el incumplimiento de la obligación de prevenir la comisión de infracciones administrativas por quienes se hallen sujetos a una relación de dependencia o vinculación."
"Según el art. 29.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, las sanciones administrativas:","No pueden implicar privación de libertad.","Pueden ser de naturaleza no pecuniaria.","Pueden ser de naturaleza pecuniaria.","Todas las respuestas son correctas.","d","El artículo 29.1 establece que las sanciones administrativas no pueden implicar privación de libertad, pueden ser de naturaleza no pecuniaria y pueden ser de naturaleza pecuniaria, por lo que todas las respuestas son correctas."
"El art. 29.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, dispone que:","El establecimiento de sanciones pecuniarias podrá prever que la comisión de las infracciones tipificadas no resulte más beneficioso para el infractor que el cumplimiento de las normas infringidas.","El establecimiento de sanciones pecuniarias deberá prever que la comisión de las infracciones tipificadas no resulte más beneficioso para el infractor que el cumplimiento de las normas infringidas.","El establecimiento de sanciones deberá prever que la comisión de las infracciones tipificadas no resulte más beneficioso para el infractor que el cumplimiento de las normas infringidas.","El establecimiento de sanciones podrá prever que la comisión de las infracciones tipificadas no resulte más beneficioso para el infractor que el cumplimiento de las normas infringidas.","b","El artículo 29.2 establece que el establecimiento de sanciones pecuniarias deberá prever que la comisión de las infracciones tipificadas no resulte más beneficioso para el infractor que el cumplimiento de las normas infringidas."
"Según el art. 29.3 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, se puede apreciar reincidencia:","Por comisión en el término de un año de más de una infracción cuando así haya sido declarado por resolución definitiva en vía administrativa.","Por comisión en el término de un año de más de una infracción de la misma naturaleza cuando así haya sido declarado por resolución definitiva en vía administrativa.","Por comisión en el término de un año de más de una infracción cuando así haya sido declarado por resolución firme en vía administrativa.","Por comisión en el término de un año de más de una infracción de la misma naturaleza cuando así haya sido declarado por resolución firme en vía administrativa.","d","El artículo 29.3 establece que se puede apreciar reincidencia por comisión en el término de un año de más de una infracción de la misma naturaleza cuando así haya sido declarado por resolución firme en vía administrativa."
"Según el art. 29.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, cuando lo justifique la debida adecuación entre la sanción que deba aplicarse con la gravedad del hecho constitutivo de la infracción y las circunstancias concurrentes, el órgano competente para resolver:","Podrá calificar la infracción en el grado inferior.","Deberá imponer la sanción en el grado inferior.","Podrá imponer la sanción en el grado inferior.","Deberá calificar la infracción en el grado inferior.","c","El artículo 29.4 establece que el órgano competente para resolver podrá imponer la sanción en el grado inferior cuando lo justifique la debida adecuación entre la sanción que deba aplicarse con la gravedad del hecho constitutivo de la infracción y las circunstancias concurrentes."
"Según el art. 29.6 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, constituye una infracción continuada:","La realización de una pluralidad de acciones u omisiones en ejecución de un plan preconcebido o aprovechando idéntica ocasión.","La realización de una pluralidad de acciones u omisiones que infrinjan el mismo o semejantes preceptos administrativos.","La realización de una pluralidad de acciones u omisiones que infrinjan el mismo o semejantes preceptos administrativos, en ejecución de un plan preconcebido o aprovechando idéntica ocasión.","Todas las respuestas son incorrectas.","c","El artículo 29.6 establece que constituye una infracción continuada la realización de una pluralidad de acciones u omisiones que infrinjan el mismo o semejantes preceptos administrativos, en ejecución de un plan preconcebido o aprovechando idéntica ocasión."
"Según el art. 30.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, en defecto de una ley específica las infracciones leves prescriben:","Al año.","A los seis meses.","A los tres meses.","Al mes.","a","El artículo 30.1 establece que, en defecto de una ley específica, las infracciones leves prescriben al año."
"Según el art. 30.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, las sanciones impuestas por faltas graves prescriben:","Según lo dispuesto en las leyes que las establezcan, y en su defecto, a los dos años.","A los dos años.","Según lo dispuesto en las leyes que las establezcan, y en su defecto, al año.","A los tres años.","a","El artículo 30.1 establece que las sanciones impuestas por faltas graves prescriben según lo dispuesto en las leyes que las establezcan, y en su defecto, a los dos años."
"Según el art. 30.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, en defecto de una ley específica prescriben al año:","Las infracciones leves y las sanciones impuestas por faltas leves.","Las sanciones impuestas por faltas leves.","Las infracciones leves.","Las respuestas a) y b) son correctas.","d","El artículo 30.1 establece que, en defecto de una ley específica, las infracciones leves y las sanciones impuestas por faltas leves prescriben al año."
"Según el art. 30.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, el plazo de prescripción de las infracciones continuadas o permanentes comenzará a contarse:","Desde que se inició la conducta infractora.","Desde el día en que se cometió la primera infracción.","Desde que finalizó la conducta infractora.","Desde que finalizó la primera infracción cometida.","c","El artículo 30.2 establece que el plazo de prescripción de las infracciones continuadas o permanentes comenzará a contarse desde que finalizó la conducta infractora."
"Según el art. 30.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿cuándo se interrumpe la prescripción de la infracción?","Con la iniciación de un procedimiento administrativo de naturaleza sancionadora.","Con la iniciación, con conocimiento del interesado, de un procedimiento administrativo de naturaleza sancionadora.","Con la iniciación, con conocimiento del órgano instructor y del interesado, de un procedimiento administrativo de naturaleza sancionadora.","Con la iniciación, con conocimiento del interesado, de un procedimiento de información reservada.","b","El artículo 30.2 establece que la prescripción de la infracción se iInterrumpirá la prescripción la iniciación, con conocimiento del interesado, de un procedimiento administrativo de naturaleza sancionadora, reiniciándose el plazo de prescripción si el expediente sancionador estuviera paralizado durante más de un mes por causa no imputable al presunto responsable."
"Según el art. 30.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿cuándo se reinicia el plazo de prescripción de la infracción?","Cuando el expediente sancionador estuviera paralizado durante más de un mes.","Cuando el expediente sancionador estuviera paralizado durante más de un mes por causa no imputable al presunto responsable.","Cuando se inicie, con conocimiento del interesado, un procedimiento administrativo de naturaleza sancionadora.","Cuando el expediente sancionador estuviera paralizado durante más de un mes por causa imputable al presunto responsable.","b","El artículo 30.2 establece que el plazo de prescripción de la infracción se reinicia cuando el expediente sancionador esté paralizado durante más de un mes por causa no imputable al presunto responsable."
"Según el art. 30.3 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿cuándo se interrumpe la prescripción de las sanciones?","Cuando se inicia, con conocimiento del interesado, el procedimiento de ejecución.","Cuando se inicia el procedimiento de ejecución.","Cuando se inicia, con conocimiento del interesado, un procedimiento administrativo de naturaleza sancionadora.","Cuando se inicia un procedimiento administrativo de naturaleza sancionadora.","a","El artículo 30.3 establece que la prescripción de las sanciones se interrumpe cuando se inicia, con conocimiento del interesado, el procedimiento de ejecución."
"Según el art. 30.3 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿cuándo vuelve a transcurrir el plazo de prescripción de las sanciones?","Cuando el procedimiento esté paralizado durante menos de un mes por causa no imputable al infractor.","Cuando el procedimiento esté paralizado durante más de un mes.","Cuando el procedimiento esté paralizado durante más de un mes por causa imputable al infractor.","Cuando el procedimiento esté paralizado durante más de un mes por causa no imputable al infractor.","d","El artículo 30.3 establece que el plazo de prescripción de las sanciones vuelve a transcurrir cuando el procedimiento esté paralizado durante más de un mes por causa no imputable al infractor."
"Según el art. 32.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, los particulares tendrán derecho a ser indemnizados por las Administraciones Públicas correspondientes, de toda lesión que sufran en cualquiera de sus bienes y derechos, siempre que la lesión sea consecuencia del funcionamiento:","Normal o anormal de los servicios públicos.","Anormal o irregular de los servicios públicos.","Normal de los servicios públicos.","Normal, anormal o regular de los servicios públicos.","a","El artículo 32.1 establece que los particulares tienen derecho a ser indemnizados por lesiones causadas por el funcionamiento normal o anormal de los servicios públicos."
"Según el art. 32.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, se excluye la responsabilidad patrimonial de las administraciones públicas:","En los casos de fuerza mayor.","En los casos de emergencia.","En los casos de daños imprevistos.","Todas las respuestas son correctas.","a","El artículo 32.1 excluye la responsabilidad patrimonial de las administraciones públicas en los casos de fuerza mayor."
"Según el art. 32.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:","La anulación en vía administrativa o por el orden jurisdiccional contencioso administrativo de los actos administrativos no presupone, por sí misma, derecho a la indemnización.","La anulación en vía administrativa de los actos o disposiciones administrativas no presupone, por sí misma, derecho a la indemnización.","La anulación en vía administrativa o por el orden jurisdiccional contencioso administrativo de los actos o disposiciones administrativas no presupone, por sí misma, derecho a la indemnización.","La anulación por el orden jurisdiccional contencioso administrativo de los actos o disposiciones administrativas no presupone, por sí misma, derecho a la indemnización.","c","El artículo 32.1 establece que la anulación en vía administrativa o por el orden jurisdiccional contencioso administrativo de los actos o disposiciones administrativas no presupone, por sí misma, derecho a la indemnización."
"Según el art. 32.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, en los supuestos de responsabilidad patrimonial el daño alegado debe ser:","Efectivo y evaluable económicamente.","Efectivo, evaluable económicamente e individualizado con relación a una persona o grupo de personas.","Efectivo, material, evaluable económicamente e individualizado.","Efectivo, material, evaluable económicamente e individualizado con relación a una persona o grupo de personas.","b","El artículo 32.2 establece que el daño alegado debe ser efectivo, evaluable económicamente e individualizado con relación a una persona o grupo de personas."
"Según el art. 32.3 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿en cuál de los siguientes supuestos puede surgir la responsabilidad patrimonial del Estado legislador?","Cuando los daños deriven de la aplicación de una norma con rango de ley declarada inconstitucional.","Cuando los daños deriven de la aplicación de una norma contraria al ordenamiento jurídico.","Cuando los daños deriven de la aplicación de una ley o una disposición general contraria al ordenamiento jurídico.","Cuando los daños deriven de la aplicación de una norma contraria al derecho internacional.","a","El artículo 32.3 establece que la responsabilidad patrimonial del Estado legislador puede surgir cuando los daños deriven de la aplicación de una norma con rango de ley declarada inconstitucional."
"Según el art. 32.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿en cuál de los siguientes supuestos procede la indemnización por las lesiones que sean consecuencia de la aplicación de una norma con rango de ley declarada inconstitucional?","Cuando el particular hubiera obtenido sentencia firme desestimatoria de un recurso contra la actuación administrativa que ocasionó el daño.","Cuando el particular hubiera obtenido sentencia firme estimatoria de un recurso contra la actuación administrativa que ocasionó el daño, siempre que se hubiera alegado la inconstitucionalidad posteriormente declarada.","Cuando el particular hubiera obtenido sentencia firme estimatoria de un recurso contra la actuación administrativa que ocasionó el daño.","Cuando el particular hubiera obtenido sentencia firme desestimatoria de un recurso contra la actuación administrativa que ocasionó el daño, siempre que se hubiera alegado la inconstitucionalidad posteriormente declarada.","b","El artículo 32.4 establece que procede la indemnización cuando el particular hubiera obtenido sentencia firme estimatoria de un recurso contra la actuación administrativa que ocasionó el daño, siempre que se hubiera alegado la inconstitucionalidad posteriormente declarada."
"Según el art. 32.6 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, la sentencia que declare la inconstitucionalidad de una norma con rango de ley producirá efectos:","Desde la fecha de su publicación en el «Boletín Oficial del Estado».","Desde la fecha de su publicación en el «Boletín Oficial del Estado», salvo que en ella se establezca otra cosa.","Desde la fecha en que se dicte.","Desde la fecha en que se dicte, salvo que en ella se establezca otra cosa.","b","El artículo 32.6 establece que la sentencia que declare la inconstitucionalidad de una norma con rango de ley producirá efectos desde la fecha de su publicación en el «Boletín Oficial del Estado», salvo que en ella se establezca otra cosa."
