"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, las normas especiales reguladoras de las ayudas al exterior:","Tienen que aprobarse por ley del parlamento.","Tienen que aprobarse por resolución del Consejero competente en materia de Hacienda y Presupuestos","Tienen que aprobarse por decreto del Consejo de Gobierno.","No se regulan las ayudas al exterior en el Decreto Legislativo 2/2005.","c","El artículo 4.2 del Decreto Legislativo 2/2005 establece que las normas especiales de ayudas al exterior deben aprobarse por decreto del Consejo de Gobierno."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique cuál de las siguientes sanciones se aplicará en caso de infracción administrativa muy grave:","Multa de más del triple al cuádruple de la cantidad obtenida indebidamente.","Pérdida, durante el plazo de uno a tres años, del derecho a obtener ayudas o subvenciones de la Administración de la Comunidad Autónoma o de las entidades de derecho público dependientes.","Prohibición de contratar con la Administración de la Comunidad Autónoma o con las entidades de derecho público dependientes por un plazo de uno a tres años","Pérdida, durante el plazo de tres a cinco años, del derecho a ser designados como entidad colaboradora.","a","El artículo 56.1 del Decreto Legislativo 2/2005 establece que en caso de infracción administrativa muy grave se aplicará una multa de más del triple al cuádruple de la cantidad obtenida indebidamente."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indica cuál de las siguientes sanciones se aplicará en caso de infracción administrativa grave:","Multa de más del doble al triple de la cantidad obtenida indebidamente.","Pérdida, durante el plazo de uno a tres años, del derecho a obtener ayudas o subvenciones de la Administración de la Comunidad Autónoma o de las entidades de derecho público dependientes.","Prohibición de contratar con la Administración de la Comunidad Autónoma o con las entidades de derecho público dependientes por un plazo de tres a cinco años","Pérdida, en el supuesto de entidades colaboradoras, durante el plazo de tres a cinco años, del derecho a ser designados como entidad colaboradora.","a","El artículo 57.1 del Decreto Legislativo 2/2005 establece que en caso de infracción administrativa grave se aplicará una multa de más del doble al triple de la cantidad obtenida indebidamente."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, cuál de las siguientes circunstancias no se considerarán para la graduación de las sanciones:","Cuantía del beneficio obtenido ilícitamente.","Reincidencia de la conducta infractora.","Repercusión social de la infracción","Intencionalidad del infractor.","c","El artículo 58.1 del Decreto Legislativo 2/2005 establece que la repercusión social de la infracción no se considerará para la graduación de las sanciones."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, las sanciones previstas en la presente Ley:","No eximen de la obligación de reintegro que prevé esta Ley, ni de las indemnizaciones de daños y perjuicios que se pudieran exigir.","Eximen de la obligación de reintegro que prevé esta Ley, pero no de las indemnizaciones de daños y perjuicios que se pudieran exigir.","No eximen de la obligación de reintegro que prevé esta Ley, pero sí de las indemnizaciones de daños y perjuicios que se pudieran exigir.","Eximen de la obligación de reintegro que prevé esta Ley, así como de las indemnizaciones de daños y perjuicios que se pudieran exigir.","a","El artículo 59.1 del Decreto Legislativo 2/2005 establece que las sanciones previstas en la presente Ley no eximen de la obligación de reintegro que prevé esta Ley, ni de las indemnizaciones de daños y perjuicios que se pudieran exigir."
"De acuerdo con el Decreto Legislativo 2/2005, son competentes para la resolución del procedimiento sancionador, cuando la potestad sancionadora corresponda a la Administración de la Comunidad Autónoma, los siguientes órganos:","Por la comisión de infracciones leves, el titular de la Dirección General que conceda la subvención.","Por la comisión de infracciones graves, el titular de la Consejería que conceda la subvención.","Por la comisión de infracciones graves y muy graves, el Consejo de Gobierno.","Por la comisión de infracciones graves, el órgano superior de los entes del sector público instrumental de la comunidad autónoma.","c","El artículo 60.1 del Decreto Legislativo 2/2005 establece que por la comisión de infracciones graves y muy graves, el Consejo de Gobierno es competente para la resolución del procedimiento sancionador."
"De acuerdo con el artículo 9 de la Ley 38/2003, de 17 de noviembre, General de Subvenciones, el otorgamiento de una subvención debe cumplir el siguiente requisito:","La aprobación del gasto por el órgano competente, con carácter previo a la concesión.","La aprobación y disposición del gasto por el órgano competente.","La remisión a fiscalización de los actos administrativos de contenido económico, en los términos previstos en las leyes.","La competencia del órgano administrativo concedente.","a","El artículo 9 de la Ley 38/2003 establece que el otorgamiento de una subvención debe cumplir el requisito de la aprobación del gasto por el órgano competente, con carácter previo a la concesión."
"De acuerdo con la la Ley 38/2003, de 17 de noviembre, general de subvenciones, indica cual de las siguientes NO es una finalidad de la Base de datos Nacional de Subvenciones:","Promover la transparencia.","Mejorar la eficiencia en la tramitación de subvenciones y ayudas públicas.","Servir como instrumento para la planificación de las políticas públicas.","Mejorar la gestión y colaborar en la lucha contra el fraude de subvenciones y ayudas públicas.","c","El artículo 20 de la Ley 38/2003 establece que la Base de Datos Nacional de Subvenciones no tiene como finalidad servir como instrumento para la planificación de las políticas públicas."
"De acuerdo con la la Ley 38/2003, de 17 de noviembre, general de subvenciones, los convenios de colaboración no podrá tener un plazo de vigencia superior a:","Cuatro años.","Tres años.","Cinco años.","Un año.","a","El artículo 11 de la Ley 38/2003 establece que los convenios de colaboración no podrán tener un plazo de vigencia superior a cuatro años."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, el procedimiento para la concesión de subvenciones se inicia:","De oficio.","De oficio o a solicitud de persona interesada.","A solicitud de persona interesada.","A solicitud de de parte.","b","El artículo 64.1 del Decreto Legislativo 2/2005 establece que el procedimiento para la concesión de subvenciones se inicia de oficio o a solicitud de persona interesada."
"De acuerdo con la Ley General de Subvenciones, el plazo de rendición de la cuenta justificativa, si las bases reguladoras no lo preveen:","Es de seis meses desde la finalización del plazo para la realización de la actividad.","Es de cuatro meses desde la finalización del plazo para la realización de la actividad.","Es de dos meses desde la finalización del plazo para la realización de la actividad.","Es de tres meses desde la finalización del plazo para la realización de la actividad.","d","El artículo 30 de la Ley 38/2003 establece que el plazo de rendición de la cuenta justificativa, si las bases reguladoras no lo prevén, es de tres meses desde la finalización del plazo para la realización de la actividad."
"De acuerdo con la Ley General de Subvenciones, indica cuáles serán los instrumentos habituales para canalizar las subvenciones previstas nominativamente en los Presupuestos Generales:","Los contratos.","Los pactos.","Los convenios.","Las encomiendas de gestión.","c","El artículo 6 de la Ley 38/2003 establece que los convenios serán los instrumentos habituales para canalizar las subvenciones previstas nominativamente en los Presupuestos Generales."
"De acuerdo con la Ley General de Subvenciones, el órgano instructor, a la vista del expediente y del informe del órgano colegiado, formulará la propuesta de resolución provisional, debidamente motivada, que deberá notificarse a los interesados en la forma que establezca la convocatoria, y se concederá un plazo para presentar alegaciones:","De 10 días.","De 15 días.","De 20 días.","De 30 días.","a","El artículo 24 de la Ley 38/2003 establece que se concederá un plazo de 10 días para presentar alegaciones."
